gene	hm_status	C6	blca	brca	chol	coad	esca	hnsc	kich	kirc	kirp	lihc	luad	lusc	prad	stad	thca	ucec
ENSG00000000003	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	0	0	0	0	0	0	0	12	0	0	0	0	0	3	0	0	0	0
ENSG00000000457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000460	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000938	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	1	1	21	0	0	0	0	6	0	120	63	1	2	104	0	0	374	0
ENSG00000001036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001084	1	1	29	0	0	0	0	28	0	0	0	0	62	313	0	0	0	0
ENSG00000001167	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000001460	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001461	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001497	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001561	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001617	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ENSG00000001626	1	1	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0
ENSG00000001629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
ENSG00000001630	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001631	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002016	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002549	1	1	642	567	0	523	0	743	0	820	0	365	807	337	0	909	221	764
ENSG00000002586	0	0	5	0	0	51	0	69	0	27	0	0	5	4	0	0	16	22
ENSG00000002587	1	1	3	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0
ENSG00000002726	0	1	0	0	0	0	0	0	0	416	664	0	0	0	19	0	0	68
ENSG00000002745	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002822	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002834	0	0	4	0	0	17	0	0	0	0	0	0	219	0	0	0	0	0
ENSG00000002919	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002933	1	1	1	48	0	11	0	0	0	158	0	3	17	0	0	5	0	6
ENSG00000003056	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ENSG00000003096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003137	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003249	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003393	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003400	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003402	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003436	1	1	0	0	0	0	0	0	0	170	32	45	353	0	0	0	0	0
ENSG00000003509	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003756	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003989	1	1	0	227	0	0	0	5	0	483	0	19	102	37	0	412	1	31
ENSG00000004059	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000004139	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004142	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000004399	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ENSG00000004455	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004468	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000004478	1	0	0	0	0	29	67	62	0	0	0	0	285	28	0	0	0	149
ENSG00000004487	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004660	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004700	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004766	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
